Epoch: [1][25/100], lr: 0.00100	Time 0.231 (0.685)	Data 0.000 (0.448)	Loss 1.1828 (1.1400)	Prec@1 33.333 (33.974)	Prec@5 33.333 (33.974)
Epoch: [1][30/100], lr: 0.00100	Time 0.230 (0.612)	Data 0.000 (0.376)	Loss 1.0958 (1.1319)	Prec@1 16.667 (34.946)	Prec@5 16.667 (34.946)
Epoch: [1][35/100], lr: 0.00100	Time 0.230 (0.559)	Data 0.000 (0.324)	Loss 0.9229 (1.1256)	Prec@1 83.333 (36.111)	Prec@5 83.333 (36.111)
Epoch: [1][40/100], lr: 0.00100	Time 0.231 (0.519)	Data 0.000 (0.284)	Loss 1.1987 (1.1249)	Prec@1 33.333 (36.585)	Prec@5 33.333 (36.585)
Epoch: [1][45/100], lr: 0.00100	Time 0.232 (0.488)	Data 0.000 (0.253)	Loss 1.2274 (1.1210)	Prec@1 16.667 (36.957)	Prec@5 16.667 (36.957)
Epoch: [1][50/100], lr: 0.00100	Time 0.231 (0.463)	Data 0.000 (0.228)	Loss 1.0917 (1.1175)	Prec@1 16.667 (36.275)	Prec@5 16.667 (36.275)
Epoch: [1][55/100], lr: 0.00100	Time 0.231 (0.442)	Data 0.000 (0.208)	Loss 1.0759 (1.1156)	Prec@1 33.333 (36.905)	Prec@5 33.333 (36.905)
Epoch: [1][60/100], lr: 0.00100	Time 0.231 (0.425)	Data 0.000 (0.191)	Loss 1.1664 (1.1133)	Prec@1 50.000 (36.885)	Prec@5 50.000 (36.885)
Epoch: [1][65/100], lr: 0.00100	Time 0.231 (0.410)	Data 0.000 (0.177)	Loss 1.0664 (1.1132)	Prec@1 50.000 (36.869)	Prec@5 50.000 (36.869)
Epoch: [1][70/100], lr: 0.00100	Time 0.231 (0.397)	Data 0.000 (0.164)	Loss 1.0476 (1.1078)	Prec@1 66.667 (37.793)	Prec@5 66.667 (37.793)
Epoch: [1][75/100], lr: 0.00100	Time 0.231 (0.386)	Data 0.000 (0.153)	Loss 1.0596 (1.1077)	Prec@1 50.000 (37.281)	Prec@5 50.000 (37.281)
Epoch: [1][80/100], lr: 0.00100	Time 0.232 (0.377)	Data 0.000 (0.144)	Loss 1.0923 (1.1048)	Prec@1 50.000 (37.449)	Prec@5 50.000 (37.449)
Epoch: [1][85/100], lr: 0.00100	Time 0.231 (0.368)	Data 0.000 (0.136)	Loss 1.0353 (1.1052)	Prec@1 50.000 (37.984)	Prec@5 50.000 (37.984)
Epoch: [1][90/100], lr: 0.00100	Time 0.232 (0.361)	Data 0.000 (0.128)	Loss 1.1750 (1.1029)	Prec@1 16.667 (38.278)	Prec@5 16.667 (38.278)
Epoch: [1][95/100], lr: 0.00100	Time 0.231 (0.354)	Data 0.000 (0.121)	Loss 1.0731 (1.1069)	Prec@1 33.333 (37.847)	Prec@5 33.333 (37.847)
Test: [0/25]	Time 11.906 (11.906)	Loss 0.8882 (0.8882)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [5/25]	Time 0.057 (2.035)	Loss 0.8696 (0.9003)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [10/25]	Time 0.057 (1.136)	Loss 1.3923 (1.0233)	Prec@1 0.000 (75.758)	Prec@5 0.000 (75.758)
Test: [15/25]	Time 0.057 (0.799)	Loss 1.3540 (1.1246)	Prec@1 0.000 (52.083)	Prec@5 0.000 (52.083)
Test: [20/25]	Time 0.057 (0.623)	Loss 0.7971 (1.0807)	Prec@1 83.333 (55.556)	Prec@5 83.333 (55.556)
Testing Results: Prec@1 55.333 Prec@5 55.333 Loss 1.06160
Best Prec@1: 55.333

Epoch: [2][0/100], lr: 0.00100	Time 12.177 (12.177)	Data 11.604 (11.604)	Loss 1.0364 (1.0364)	Prec@1 66.667 (66.667)	Prec@5 66.667 (66.667)
Epoch: [2][5/100], lr: 0.00100	Time 0.230 (2.221)	Data 0.000 (1.934)	Loss 1.1110 (1.0908)	Prec@1 33.333 (44.444)	Prec@5 33.333 (44.444)
Epoch: [2][10/100], lr: 0.00100	Time 0.231 (1.316)	Data 0.000 (1.055)	Loss 1.1236 (1.0864)	Prec@1 16.667 (39.394)	Prec@5 16.667 (39.394)
Epoch: [2][15/100], lr: 0.00100	Time 0.231 (0.977)	Data 0.001 (0.725)	Loss 1.0903 (1.0886)	Prec@1 16.667 (42.708)	Prec@5 16.667 (42.708)
Epoch: [2][20/100], lr: 0.00100	Time 0.230 (0.799)	Data 0.000 (0.553)	Loss 1.0001 (1.0812)	Prec@1 66.667 (43.651)	Prec@5 66.667 (43.651)
Epoch: [2][25/100], lr: 0.00100	Time 0.231 (0.690)	Data 0.000 (0.447)	Loss 1.1789 (1.0890)	Prec@1 33.333 (41.026)	Prec@5 33.333 (41.026)
Epoch: [2][30/100], lr: 0.00100	Time 0.231 (0.616)	Data 0.000 (0.375)	Loss 0.9290 (1.0760)	Prec@1 66.667 (43.548)	Prec@5 66.667 (43.548)
Epoch: [2][35/100], lr: 0.00100	Time 0.231 (0.562)	Data 0.000 (0.323)	Loss 0.9298 (1.0616)	Prec@1 33.333 (44.444)	Prec@5 33.333 (44.444)
Epoch: [2][40/100], lr: 0.00100	Time 0.231 (0.522)	Data 0.000 (0.283)	Loss 0.9060 (1.0640)	Prec@1 33.333 (44.309)	Prec@5 33.333 (44.309)
Epoch: [2][45/100], lr: 0.00100	Time 0.231 (0.490)	Data 0.001 (0.253)	Loss 0.7920 (1.0482)	Prec@1 66.667 (44.928)	Prec@5 66.667 (44.928)
Epoch: [2][50/100], lr: 0.00100	Time 0.232 (0.465)	Data 0.001 (0.228)	Loss 1.0658 (1.0532)	Prec@1 66.667 (45.098)	Prec@5 66.667 (45.098)
