Epoch: [0][0/164], lr: 0.00100	Time 21.911 (21.911)	Data 13.117 (13.117)	Loss 2.3172 (2.3172)	Prec@1 16.667 (16.667)	Prec@5 16.667 (16.667)
Epoch: [0][5/164], lr: 0.00100	Time 0.810 (4.327)	Data 0.000 (2.186)	Loss 1.4159 (2.2678)	Prec@1 50.000 (11.111)	Prec@5 50.000 (11.111)
Epoch: [0][10/164], lr: 0.00100	Time 0.810 (2.727)	Data 0.001 (1.193)	Loss 1.2177 (1.8276)	Prec@1 83.333 (34.848)	Prec@5 83.333 (34.848)
Epoch: [0][15/164], lr: 0.00100	Time 0.807 (2.128)	Data 0.000 (0.820)	Loss 0.4234 (1.4611)	Prec@1 83.333 (47.917)	Prec@5 83.333 (47.917)
Epoch: [0][20/164], lr: 0.00100	Time 0.810 (1.814)	Data 0.000 (0.625)	Loss 0.3485 (1.2852)	Prec@1 83.333 (56.349)	Prec@5 83.333 (56.349)
